Serial_number,csa_id,csa_name,chat_id,date,issue_type,chat_duration,Status_of_chat,Issue_resolved_review,CCXU,Concession_given,Concession_amount
30,11240,Santosh,CH00030,1/30/2026,Wrong Amount Charged,9,Resolved,No,5,Yes,10
31,11229,Sirisha,CH00031,1/6/2026,Refund Not Received,17,Transfer,Not sent,4,No,0
32,11234,Mohan,CH00032,1/12/2026,Unknown Charge,17,Resolved,Yes,4,Yes,66
33,11236,Shakshi,CH00033,1/5/2026,Refund Not Received,23,Resolved,No,4,Yes,49
34,11229,Sirisha,CH00034,1/12/2026,Item Missing,3,Resolved,No,4,Yes,81
35,11239,Sameer,CH00035,1/11/2026,Account Locked,8,Resolved,Yes,4,Yes,53
36,11231,Venkat,CH00036,1/5/2026,Stuck in Shipment,22,Resolved,No response,4,Yes,79
37,11226,Akash,CH00037,1/1/2026,Whole Package Missing,6,Transfer,Not sent,2,No,0
38,11222,Amit,CH00038,1/21/2026,Item Missing,10,Resolved,No,4,Yes,28
39,11229,Sirisha,CH00039,1/7/2026,Whole Package Missing,19,Resolved,Yes,5,Yes,19
40,11232,Vivek,CH00040,1/3/2026,Order Cancelled Issue,17,Resolved,No response,4,Yes,40
41,11229,Sirisha,CH00041,1/9/2026,Payment Failed,4,Resolved,Yes,4,Yes,44
42,11237,Sona,CH00042,1/16/2026,Order Cancelled Issue,13,Resolved,Yes,5,Yes,88
43,11225,Kareem,CH00043,1/27/2026,Wrong Amount Charged,4,Resolved,Yes,5,No,0
44,11229,Sirisha,CH00044,1/2/2026,Account Locked,13,Transfer,Not sent,4,No,0
45,11239,Sameer,CH00045,1/27/2026,Whole Package Missing,13,Resolved,No response,5,Yes,78
46,11221,Anuj,CH00046,1/7/2026,Delivered Not Received,7,Resolved,No response,5,Yes,53
47,11222,Amit,CH00047,1/25/2026,Item Missing,19,Parked,Not sent,3,No,0
48,11231,Venkat,CH00048,1/3/2026,Whole Package Missing,14,Parked,Not sent,4,No,0
49,11223,Neha,CH00049,1/8/2026,Stuck in Shipment,12,Resolved,Yes,5,Yes,96
50,11231,Venkat,CH00050,1/22/2026,Whole Package Missing,25,Parked,Not sent,2,No,0
51,11221,Anuj,CH00051,1/22/2026,Whole Package Missing,12,Parked,Not sent,3,No,0
52,11224,Jameel,CH00052,1/22/2026,Item Missing,3,Transfer,Not sent,2,No,0
53,11234,Mohan,CH00053,1/26/2026,Whole Package Missing,16,Resolved,Yes,5,Yes,81
54,11239,Sameer,CH00054,1/12/2026,Account Locked,22,Resolved,Yes,4,Yes,65
55,11236,Shakshi,CH00055,1/9/2026,Payment Failed,8,Parked,Not sent,4,No,0
56,11235,Kunal,CH00056,1/17/2026,Payment Failed,25,Parked,Not sent,4,No,0
57,11221,Anuj,CH00057,1/16/2026,Item Missing,16,Resolved,No response,4,Yes,95
58,11232,Vivek,CH00058,1/28/2026,Delivered Not Received,16,Resolved,Yes,4,Yes,25
59,11237,Sona,CH00059,1/8/2026,Stuck in Shipment,18,Resolved,Yes,4,Yes,55
60,11223,Neha,CH00060,1/16/2026,Order Cancelled Issue,14,Transfer,Not sent,3,No,0
61,11222,Amit,CH00061,1/30/2026,Unknown Charge,23,Escalated,Yes,2,No,0
62,11239,Sameer,CH00062,1/20/2026,Whole Package Missing,6,Resolved,Yes,5,Yes,56
63,11236,Shakshi,CH00063,1/28/2026,Stuck in Shipment,9,Resolved,No response,4,Yes,281
64,11234,Mohan,CH00064,1/13/2026,Account Locked,11,Resolved,No response,5,Yes,46
65,11235,Kunal,CH00065,1/9/2026,Delivered Not Received,5,Resolved,No,5,No,0
66,11233,Naman,CH00066,1/13/2026,Refund Not Received,19,Transfer,Not sent,4,No,0
67,11227,Godavari,CH00067,1/16/2026,Wrong Amount Charged,3,Transfer,Not sent,3,No,0
68,11237,Sona,CH00068,1/26/2026,Item Missing,5,Resolved,Yes,4,Yes,79
69,11239,Sameer,CH00069,1/11/2026,Order Cancelled Issue,24,Escalated,No response,3,No,0
70,11239,Sameer,CH00070,1/4/2026,Delivered Not Received,22,Parked,Not sent,3,No,0
71,11239,Sameer,CH00071,1/12/2026,Delivered Not Received,16,Resolved,Yes,4,No,0
72,11238,Shanti,CH00072,1/7/2026,Refund Not Received,18,Escalated,No response,4,No,0
73,11224,Jameel,CH00073,1/25/2026,Wrong Amount Charged,11,Parked,Not sent,4,No,0
74,11222,Amit,CH00074,1/27/2026,Whole Package Missing,4,Transfer,Not sent,2,No,0
75,11240,Santosh,CH00075,1/30/2026,Whole Package Missing,16,Transfer,Not sent,4,No,0
76,11229,Sirisha,CH00076,1/30/2026,Item Missing,17,Parked,Not sent,2,No,0
77,11231,Venkat,CH00077,1/18/2026,Wrong Amount Charged,22,Resolved,No,4,No,0
78,11230,Pawan,CH00078,1/14/2026,Stuck in Shipment,14,Resolved,No response,5,Yes,26
79,11236,Shakshi,CH00079,1/19/2026,Order Cancelled Issue,17,Transfer,Not sent,2,No,0
80,11234,Mohan,CH00080,1/14/2026,Account Locked,13,Resolved,No response,4,Yes,282
81,11229,Sirisha,CH00081,1/28/2026,Whole Package Missing,21,Resolved,No,5,Yes,91
82,11239,Sameer,CH00082,1/1/2026,Order Cancelled Issue,5,Transfer,Not sent,4,No,0
83,11226,Akash,CH00083,1/6/2026,Wrong Amount Charged,16,Resolved,Yes,4,No,0
84,11233,Naman,CH00084,1/26/2026,Item Missing,3,Resolved,No,4,Yes,81
85,11224,Jameel,CH00085,1/19/2026,Order Cancelled Issue,8,Resolved,Yes,5,No,0
86,11223,Neha,CH00086,1/20/2026,Account Locked,24,Transfer,Not sent,3,No,0
87,11234,Mohan,CH00087,1/30/2026,Account Locked,21,Resolved,No response,5,Yes,37
88,11230,Pawan,CH00088,1/16/2026,Item Missing,6,Resolved,Yes,4,Yes,77
89,11233,Naman,CH00089,1/15/2026,Payment Failed,8,Resolved,Yes,5,Yes,350
90,11239,Sameer,CH00090,1/18/2026,Unknown Charge,17,Escalated,Yes,2,No,0
91,11227,Godavari,CH00091,1/3/2026,Item Missing,24,Resolved,No response,4,Yes,26
92,11237,Sona,CH00092,1/19/2026,Whole Package Missing,21,Resolved,Yes,4,Yes,100
93,11229,Sirisha,CH00093,1/3/2026,Order Cancelled Issue,19,Transfer,Not sent,2,No,0
94,11222,Amit,CH00094,1/20/2026,Stuck in Shipment,14,Parked,Not sent,4,No,0
95,11222,Amit,CH00095,1/2/2026,Unknown Charge,15,Resolved,Yes,4,Yes,20
96,11230,Pawan,CH00096,1/18/2026,Account Locked,14,Parked,Not sent,4,No,0
97,11234,Mohan,CH00097,1/12/2026,Order Cancelled Issue,14,Transfer,Not sent,3,No,0
98,11228,Muskan,CH00098,1/8/2026,Wrong Amount Charged,13,Resolved,Yes,4,No,0
99,11238,Shanti,CH00099,1/22/2026,Item Missing,6,Transfer,Not sent,2,No,0
100,11230,Pawan,CH00100,1/6/2026,Item Missing,8,Resolved,No response,5,Yes,47
101,11231,Venkat,CH00101,1/10/2026,Wrong Amount Charged,10,Transfer,Not sent,2,No,0
102,11227,Godavari,CH00102,1/28/2026,Payment Failed,10,Resolved,Yes,5,Yes,78
103,11228,Muskan,CH00103,1/5/2026,Refund Not Received,25,Resolved,No,5,No,0
104,11229,Sirisha,CH00104,1/3/2026,Order Cancelled Issue,24,Resolved,No,5,Yes,43
105,11240,Santosh,CH00105,1/9/2026,Stuck in Shipment,23,Resolved,Yes,5,No,0
106,11223,Neha,CH00106,1/24/2026,Account Locked,10,Resolved,Yes,5,Yes,15
107,11224,Jameel,CH00107,1/2/2026,Delivered Not Received,3,Transfer,Not sent,4,No,0
108,11223,Neha,CH00108,1/13/2026,Order Cancelled Issue,7,Transfer,Not sent,2,No,0
109,11239,Sameer,CH00109,1/30/2026,Refund Not Received,14,Resolved,Yes,5,Yes,17
110,11229,Sirisha,CH00110,1/17/2026,Delivered Not Received,8,Resolved,Yes,5,Yes,38
111,11233,Naman,CH00111,1/12/2026,Wrong Amount Charged,15,Resolved,Yes,5,Yes,41
112,11227,Godavari,CH00112,1/2/2026,Delivered Not Received,18,Resolved,Yes,4,Yes,63
113,11233,Naman,CH00113,1/20/2026,Order Cancelled Issue,7,Parked,Not sent,2,No,0
114,11235,Kunal,CH00114,1/4/2026,Payment Failed,18,Transfer,Not sent,2,No,0
115,11224,Jameel,CH00115,1/6/2026,Item Missing,16,Transfer,Not sent,2,No,0
116,11227,Godavari,CH00116,1/27/2026,Whole Package Missing,9,Resolved,Yes,4,Yes,10
117,11229,Sirisha,CH00117,1/19/2026,Account Locked,11,Escalated,No response,1,No,0
118,11226,Akash,CH00118,1/19/2026,Account Locked,12,Escalated,Yes,2,No,0
119,11225,Kareem,CH00119,1/30/2026,Wrong Amount Charged,5,Resolved,No response,4,Yes,85
120,11239,Sameer,CH00120,1/8/2026,Payment Failed,6,Resolved,Yes,4,No,0
121,11232,Vivek,CH00121,1/14/2026,Order Cancelled Issue,21,Resolved,No response,5,No,0
122,11239,Sameer,CH00122,1/8/2026,Account Locked,12,Transfer,Not sent,3,No,0
123,11224,Jameel,CH00123,1/26/2026,Delivered Not Received,7,Resolved,No response,4,Yes,48
124,11222,Amit,CH00124,1/5/2026,Order Cancelled Issue,17,Transfer,Not sent,3,No,0
125,11233,Naman,CH00125,1/26/2026,Whole Package Missing,11,Escalated,No response,4,No,0
126,11224,Jameel,CH00126,1/22/2026,Order Cancelled Issue,21,Resolved,Yes,5,Yes,24
127,11226,Akash,CH00127,1/16/2026,Item Missing,3,Resolved,Yes,4,Yes,464
128,11230,Pawan,CH00128,1/11/2026,Whole Package Missing,5,Escalated,Yes,2,No,0
129,11234,Mohan,CH00129,1/27/2026,Item Missing,12,Resolved,Yes,5,Yes,174
130,11227,Godavari,CH00130,1/24/2026,Payment Failed,3,Transfer,Not sent,4,No,0
131,11237,Sona,CH00131,1/14/2026,Wrong Amount Charged,17,Resolved,Yes,5,Yes,26
132,11240,Santosh,CH00132,1/22/2026,Unknown Charge,4,Escalated,No response,3,No,0
133,11233,Naman,CH00133,1/9/2026,Whole Package Missing,15,Resolved,No,4,Yes,23
134,11228,Muskan,CH00134,1/3/2026,Whole Package Missing,7,Resolved,Yes,5,Yes,90
135,11221,Anuj,CH00135,1/30/2026,Refund Not Received,23,Resolved,No,4,Yes,452
136,11230,Pawan,CH00136,1/29/2026,Account Locked,7,Resolved,No,4,No,0
137,11227,Godavari,CH00137,1/21/2026,Wrong Amount Charged,6,Escalated,Yes,2,No,0
138,11222,Amit,CH00138,1/7/2026,Refund Not Received,15,Resolved,Yes,4,No,0
139,11222,Amit,CH00139,1/29/2026,Delivered Not Received,17,Resolved,Yes,4,No,0
140,11233,Naman,CH00140,1/30/2026,Account Locked,8,Resolved,No response,4,Yes,92
141,11223,Neha,CH00141,1/29/2026,Delivered Not Received,13,Resolved,Yes,4,No,0
142,11234,Mohan,CH00142,1/9/2026,Wrong Amount Charged,8,Resolved,No response,4,Yes,11
143,11222,Amit,CH00143,1/19/2026,Stuck in Shipment,4,Resolved,No response,4,Yes,79
144,11224,Jameel,CH00144,1/16/2026,Delivered Not Received,4,Resolved,Yes,5,Yes,40
145,11228,Muskan,CH00145,1/17/2026,Item Missing,21,Resolved,Yes,4,Yes,33
146,11227,Godavari,CH00146,1/3/2026,Unknown Charge,12,Transfer,Not sent,4,No,0
147,11238,Shanti,CH00147,1/28/2026,Delivered Not Received,22,Resolved,Yes,4,No,0
148,11238,Shanti,CH00148,1/13/2026,Unknown Charge,9,Resolved,No,4,Yes,224
149,11221,Anuj,CH00149,1/22/2026,Unknown Charge,11,Escalated,No response,4,No,0
150,11221,Anuj,CH00150,1/30/2026,Item Missing,17,Resolved,No response,5,Yes,262
151,11230,Pawan,CH00151,1/15/2026,Whole Package Missing,10,Resolved,Yes,4,Yes,483
152,11230,Pawan,CH00152,1/13/2026,Item Missing,13,Resolved,Yes,4,Yes,13
153,11222,Amit,CH00153,1/13/2026,Whole Package Missing,8,Resolved,Yes,5,Yes,67
154,11232,Vivek,CH00154,1/20/2026,Whole Package Missing,23,Resolved,Yes,4,Yes,26
155,11238,Shanti,CH00155,1/21/2026,Whole Package Missing,12,Resolved,Yes,5,Yes,11
156,11226,Akash,CH00156,1/29/2026,Account Locked,13,Transfer,Not sent,4,No,0
157,11238,Shanti,CH00157,1/14/2026,Order Cancelled Issue,22,Resolved,No,5,Yes,157
158,11238,Shanti,CH00158,1/4/2026,Stuck in Shipment,21,Escalated,Yes,1,No,0
159,11231,Venkat,CH00159,1/27/2026,Wrong Amount Charged,9,Resolved,No,5,Yes,67
160,11232,Vivek,CH00160,1/18/2026,Whole Package Missing,23,Resolved,Yes,5,Yes,53
161,11223,Neha,CH00161,1/19/2026,Refund Not Received,17,Escalated,No response,1,No,0
162,11235,Kunal,CH00162,1/15/2026,Whole Package Missing,20,Escalated,Yes,3,No,0
163,11227,Godavari,CH00163,1/23/2026,Refund Not Received,16,Resolved,Yes,5,Yes,95
164,11234,Mohan,CH00164,1/2/2026,Unknown Charge,15,Escalated,No response,4,No,0
165,11223,Neha,CH00165,1/4/2026,Refund Not Received,24,Parked,Not sent,4,No,0
166,11226,Akash,CH00166,1/20/2026,Stuck in Shipment,4,Resolved,Yes,4,No,0
167,11222,Amit,CH00167,1/17/2026,Order Cancelled Issue,4,Transfer,Not sent,4,No,0
168,11239,Sameer,CH00168,1/14/2026,Delivered Not Received,4,Resolved,Yes,4,Yes,11
169,11235,Kunal,CH00169,1/14/2026,Payment Failed,19,Resolved,Yes,5,No,0
170,11237,Sona,CH00170,1/24/2026,Refund Not Received,6,Escalated,No response,3,No,0
171,11233,Naman,CH00171,1/11/2026,Wrong Amount Charged,5,Escalated,Yes,4,No,0
172,11231,Venkat,CH00172,1/2/2026,Whole Package Missing,11,Resolved,No response,5,Yes,19
173,11234,Mohan,CH00173,1/29/2026,Stuck in Shipment,5,Resolved,No response,5,Yes,41
174,11239,Sameer,CH00174,1/24/2026,Stuck in Shipment,16,Resolved,No,5,No,0
175,11235,Kunal,CH00175,1/23/2026,Payment Failed,24,Resolved,Yes,4,Yes,374
176,11238,Shanti,CH00176,1/25/2026,Item Missing,15,Resolved,Yes,5,Yes,94
177,11223,Neha,CH00177,1/7/2026,Refund Not Received,15,Transfer,Not sent,4,No,0
178,11236,Shakshi,CH00178,1/17/2026,Payment Failed,11,Resolved,Yes,5,Yes,64
179,11234,Mohan,CH00179,1/28/2026,Whole Package Missing,15,Resolved,Yes,5,Yes,20
180,11231,Venkat,CH00180,1/2/2026,Stuck in Shipment,23,Resolved,Yes,5,Yes,58
181,11238,Shanti,CH00181,1/12/2026,Refund Not Received,21,Transfer,Not sent,2,No,0
182,11231,Venkat,CH00182,1/14/2026,Wrong Amount Charged,12,Resolved,Yes,4,No,0
183,11237,Sona,CH00183,1/11/2026,Whole Package Missing,25,Parked,Not sent,4,No,0
184,11227,Godavari,CH00184,1/12/2026,Wrong Amount Charged,3,Resolved,Yes,4,Yes,48
185,11237,Sona,CH00185,1/7/2026,Stuck in Shipment,18,Resolved,Yes,4,Yes,478
186,11224,Jameel,CH00186,1/27/2026,Delivered Not Received,14,Resolved,No response,5,Yes,69
187,11230,Pawan,CH00187,1/13/2026,Delivered Not Received,13,Resolved,No response,5,Yes,78
188,11229,Sirisha,CH00188,1/21/2026,Payment Failed,14,Resolved,Yes,5,Yes,87
189,11231,Venkat,CH00189,1/30/2026,Whole Package Missing,3,Resolved,Yes,4,Yes,45
190,11239,Sameer,CH00190,1/2/2026,Unknown Charge,14,Resolved,No,5,Yes,85
191,11221,Anuj,CH00191,1/1/2026,Refund Not Received,3,Escalated,No response,1,No,0
192,11235,Kunal,CH00192,1/9/2026,Order Cancelled Issue,13,Parked,Not sent,3,No,0
193,11221,Anuj,CH00193,1/21/2026,Refund Not Received,25,Resolved,No response,4,Yes,32
194,11235,Kunal,CH00194,1/7/2026,Delivered Not Received,8,Transfer,Not sent,2,No,0
195,11222,Amit,CH00195,1/23/2026,Whole Package Missing,6,Resolved,Yes,4,Yes,86
196,11238,Shanti,CH00196,1/8/2026,Unknown Charge,10,Resolved,Yes,4,Yes,30
197,11228,Muskan,CH00197,1/13/2026,Delivered Not Received,14,Resolved,Yes,5,Yes,39
198,11222,Amit,CH00198,1/7/2026,Whole Package Missing,20,Resolved,Yes,5,Yes,80
199,11221,Anuj,CH00199,1/10/2026,Payment Failed,8,Parked,Not sent,2,No,0
200,11221,Anuj,CH00200,1/25/2026,Whole Package Missing,13,Escalated,Yes,3,No,0
201,11223,Neha,CH00201,1/4/2026,Item Missing,5,Resolved,No response,5,Yes,53
202,11234,Mohan,CH00202,1/13/2026,Wrong Amount Charged,23,Transfer,Not sent,3,No,0
203,11221,Anuj,CH00203,1/4/2026,Order Cancelled Issue,11,Parked,Not sent,3,No,0
204,11232,Vivek,CH00204,1/26/2026,Stuck in Shipment,13,Transfer,Not sent,4,No,0
205,11232,Vivek,CH00205,1/2/2026,Whole Package Missing,4,Escalated,No response,1,No,0
206,11222,Amit,CH00206,1/14/2026,Order Cancelled Issue,12,Resolved,Yes,4,Yes,28
207,11234,Mohan,CH00207,1/1/2026,Payment Failed,18,Resolved,Yes,4,Yes,64
208,11237,Sona,CH00208,1/27/2026,Wrong Amount Charged,5,Escalated,Yes,4,No,0
209,11227,Godavari,CH00209,1/7/2026,Unknown Charge,23,Resolved,No,5,Yes,81
210,11222,Amit,CH00210,1/18/2026,Order Cancelled Issue,18,Transfer,Not sent,2,No,0
211,11232,Vivek,CH00211,1/3/2026,Item Missing,20,Resolved,No,4,Yes,81
212,11227,Godavari,CH00212,1/21/2026,Account Locked,5,Resolved,Yes,4,No,0
213,11239,Sameer,CH00213,1/22/2026,Stuck in Shipment,25,Escalated,Yes,2,No,0
214,11238,Shanti,CH00214,1/17/2026,Account Locked,10,Resolved,Yes,5,Yes,270
215,11227,Godavari,CH00215,1/8/2026,Stuck in Shipment,7,Resolved,No response,5,Yes,45
216,11233,Naman,CH00216,1/24/2026,Wrong Amount Charged,10,Resolved,Yes,5,No,0
217,11229,Sirisha,CH00217,1/25/2026,Order Cancelled Issue,3,Resolved,Yes,5,Yes,455
218,11223,Neha,CH00218,1/29/2026,Item Missing,22,Resolved,No response,4,Yes,44
219,11233,Naman,CH00219,1/25/2026,Account Locked,7,Resolved,No,4,No,0
220,11239,Sameer,CH00220,1/17/2026,Stuck in Shipment,6,Resolved,No,5,Yes,93
221,11228,Muskan,CH00221,1/2/2026,Stuck in Shipment,23,Resolved,Yes,4,Yes,85
222,11233,Naman,CH00222,1/24/2026,Refund Not Received,13,Resolved,No,5,Yes,89
223,11237,Sona,CH00223,1/4/2026,Payment Failed,11,Resolved,Yes,5,No,0
224,11235,Kunal,CH00224,1/16/2026,Delivered Not Received,24,Transfer,Not sent,3,No,0
225,11237,Sona,CH00225,1/17/2026,Wrong Amount Charged,20,Transfer,Not sent,3,No,0
226,11230,Pawan,CH00226,1/28/2026,Whole Package Missing,19,Resolved,No,5,Yes,365
227,11234,Mohan,CH00227,1/4/2026,Item Missing,20,Escalated,No response,2,No,0
228,11230,Pawan,CH00228,1/18/2026,Unknown Charge,7,Parked,Not sent,2,No,0
229,11236,Shakshi,CH00229,1/9/2026,Whole Package Missing,5,Resolved,No response,4,Yes,98
230,11224,Jameel,CH00230,1/14/2026,Account Locked,8,Resolved,Yes,5,Yes,65
231,11223,Neha,CH00231,1/9/2026,Order Cancelled Issue,3,Parked,Not sent,2,No,0
232,11224,Jameel,CH00232,1/10/2026,Item Missing,13,Resolved,Yes,5,Yes,90
233,11229,Sirisha,CH00233,1/28/2026,Order Cancelled Issue,14,Resolved,Yes,5,Yes,96
234,11228,Muskan,CH00234,1/15/2026,Wrong Amount Charged,13,Resolved,Yes,5,Yes,56
235,11225,Kareem,CH00235,1/26/2026,Whole Package Missing,15,Resolved,No response,4,Yes,96
236,11235,Kunal,CH00236,1/24/2026,Unknown Charge,7,Parked,Not sent,3,No,0
237,11228,Muskan,CH00237,1/12/2026,Whole Package Missing,11,Parked,Not sent,3,No,0
238,11234,Mohan,CH00238,1/18/2026,Wrong Amount Charged,17,Escalated,No response,2,No,0
239,11237,Sona,CH00239,1/30/2026,Order Cancelled Issue,13,Resolved,Yes,4,Yes,105
240,11239,Sameer,CH00240,1/19/2026,Unknown Charge,11,Parked,Not sent,2,No,0
241,11232,Vivek,CH00241,1/28/2026,Wrong Amount Charged,12,Resolved,No response,5,Yes,24
242,11223,Neha,CH00242,1/21/2026,Unknown Charge,21,Resolved,Yes,4,No,0
243,11236,Shakshi,CH00243,1/23/2026,Payment Failed,10,Parked,Not sent,4,No,0
244,11222,Amit,CH00244,1/11/2026,Whole Package Missing,21,Resolved,Yes,4,Yes,97
245,11232,Vivek,CH00245,1/5/2026,Item Missing,24,Resolved,Yes,4,Yes,31
246,11239,Sameer,CH00246,1/10/2026,Stuck in Shipment,4,Parked,Not sent,4,No,0
247,11237,Sona,CH00247,1/25/2026,Unknown Charge,9,Resolved,No response,4,Yes,69
248,11236,Shakshi,CH00248,1/8/2026,Account Locked,12,Transfer,Not sent,2,No,0
249,11228,Muskan,CH00249,1/15/2026,Item Missing,5,Resolved,No,4,Yes,82
250,11240,Santosh,CH00250,1/6/2026,Whole Package Missing,3,Resolved,Yes,4,Yes,75
251,11238,Shanti,CH00251,1/8/2026,Delivered Not Received,23,Transfer,Not sent,2,No,0
252,11226,Akash,CH00252,1/25/2026,Payment Failed,16,Resolved,Yes,5,Yes,254
253,11227,Godavari,CH00253,1/12/2026,Account Locked,11,Resolved,Yes,5,Yes,187
254,11236,Shakshi,CH00254,1/17/2026,Order Cancelled Issue,25,Parked,Not sent,2,No,0
255,11226,Akash,CH00255,1/11/2026,Order Cancelled Issue,7,Escalated,Yes,2,No,0
256,11233,Naman,CH00256,1/26/2026,Unknown Charge,21,Resolved,No response,5,Yes,16
257,11231,Venkat,CH00257,1/8/2026,Order Cancelled Issue,10,Escalated,No response,3,No,0
258,11239,Sameer,CH00258,1/28/2026,Unknown Charge,15,Transfer,Not sent,4,No,0
259,11224,Jameel,CH00259,1/4/2026,Item Missing,19,Resolved,Yes,5,Yes,387
260,11230,Pawan,CH00260,1/6/2026,Stuck in Shipment,23,Escalated,No response,3,No,0
261,11233,Naman,CH00261,1/10/2026,Payment Failed,14,Resolved,Yes,4,Yes,45
262,11232,Vivek,CH00262,1/1/2026,Wrong Amount Charged,19,Resolved,No,5,Yes,41
263,11239,Sameer,CH00263,1/21/2026,Stuck in Shipment,8,Resolved,Yes,4,Yes,81
264,11238,Shanti,CH00264,1/13/2026,Delivered Not Received,3,Resolved,No,4,No,0
265,11240,Santosh,CH00265,1/28/2026,Item Missing,5,Parked,Not sent,2,No,0
266,11237,Sona,CH00266,1/24/2026,Refund Not Received,6,Resolved,Yes,4,Yes,98
267,11222,Amit,CH00267,1/2/2026,Item Missing,21,Resolved,Yes,4,Yes,75
268,11236,Shakshi,CH00268,1/15/2026,Wrong Amount Charged,11,Escalated,Yes,2,No,0
269,11234,Mohan,CH00269,1/2/2026,Account Locked,17,Resolved,Yes,5,No,0
270,11232,Vivek,CH00270,1/29/2026,Refund Not Received,23,Resolved,Yes,4,Yes,48
271,11235,Kunal,CH00271,1/4/2026,Wrong Amount Charged,5,Parked,Not sent,2,No,0
272,11239,Sameer,CH00272,1/27/2026,Refund Not Received,6,Resolved,No response,4,No,0
273,11236,Shakshi,CH00273,1/10/2026,Refund Not Received,23,Transfer,Not sent,3,No,0
274,11235,Kunal,CH00274,1/19/2026,Item Missing,15,Resolved,Yes,5,Yes,481
275,11228,Muskan,CH00275,1/12/2026,Delivered Not Received,19,Transfer,Not sent,2,No,0
276,11232,Vivek,CH00276,1/7/2026,Delivered Not Received,12,Resolved,Yes,4,Yes,28
277,11228,Muskan,CH00277,1/24/2026,Delivered Not Received,3,Resolved,Yes,4,Yes,218
278,11225,Kareem,CH00278,1/1/2026,Delivered Not Received,6,Escalated,Yes,2,No,0
279,11239,Sameer,CH00279,1/12/2026,Account Locked,4,Resolved,Yes,5,Yes,336
280,11228,Muskan,CH00280,1/24/2026,Order Cancelled Issue,7,Transfer,Not sent,3,No,0
281,11236,Shakshi,CH00281,1/15/2026,Stuck in Shipment,3,Resolved,Yes,5,No,0
282,11234,Mohan,CH00282,1/22/2026,Item Missing,6,Parked,Not sent,4,No,0
283,11239,Sameer,CH00283,1/13/2026,Stuck in Shipment,23,Resolved,No response,5,Yes,10
284,11221,Anuj,CH00284,1/15/2026,Wrong Amount Charged,13,Escalated,No response,4,No,0
285,11230,Pawan,CH00285,1/12/2026,Wrong Amount Charged,25,Resolved,Yes,4,Yes,319
286,11234,Mohan,CH00286,1/30/2026,Delivered Not Received,17,Transfer,Not sent,2,No,0
287,11235,Kunal,CH00287,1/3/2026,Order Cancelled Issue,16,Resolved,Yes,4,Yes,41
